date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-02-26,272.3688,274.422,271.7075,274.3134,86491406,86491406,3.1488,1.161,273.3155,"Feb 26, 18",0.6844988845268866
2018-02-27,274.5207,275.3202,270.8191,270.8882,99099165,99099165,-3.4252,-1.249,272.806,"Feb 27, 18",0.6634654768286788
2018-02-28,272.122,272.6254,267.7887,268.144,121907767,121907767,-2.7441,-1.013,270.1324,"Feb 28, 18",0.6466139419094272
2018-03-01,267.9071,269.6444,262.567,264.245,176855077,176855077,-3.899,-1.454,265.4462,"Mar 1, 18",0.6226710315347597
2018-03-02,262.3695,266.239,261.4022,265.6072,139083217,139083217,1.3622,0.516,263.7239,"Mar 2, 18",0.6310360052491407
2018-03-05,264.2746,269.368,264.1562,268.6771,97307387,97307387,3.0699,1.156,267.3816,"Mar 5, 18",0.6498875929791208
2018-03-06,269.7727,269.8616,267.6801,269.3582,79213163,79213163,0.681096,0.253,268.8578,"Mar 6, 18",0.6540700798363115
2018-03-07,266.9299,269.6543,266.7128,269.2595,87063502,87063502,-0.09871,-0.037,268.1324,"Mar 7, 18",0.6534639846185685
2018-03-08,270.0195,270.7006,268.9041,270.5624,66901150,66901150,1.303,0.484,269.8275,"Mar 8, 18",0.6614648099397161
2018-03-09,272.1418,275.2709,271.7864,275.2709,113625335,113625335,4.7084,1.74,273.9409,"Mar 9, 18",0.6903786836250512
2018-03-12,275.5966,276.2974,274.4912,274.9254,71924793,71924793,-0.345483,-0.126,275.258,"Mar 12, 18",0.6882570433238338
2018-03-13,276.2283,276.791,272.4675,273.1486,91968937,91968937,-1.7768,-0.646,274.2759,"Mar 13, 18",0.6773461012479912
2018-03-14,274.2245,274.4318,271.1251,271.7469,105895079,105895079,-1.4017,-0.513,272.0762,"Mar 14, 18",0.6687385666308658
2018-03-15,272.3194,273.04,270.8882,271.4508,83433038,83433038,-0.296129,-0.109,271.7532,"Mar 15, 18",0.6669202809776372
2018-03-16,272.0422,272.9242,271.6854,271.7448,100343673,100343673,0.294043,0.108,272.2229,"Mar 16, 18",0.6687256709879352
2018-03-19,270.9025,271.9388,266.2148,268.0681,109208442,109208442,-3.6768,-1.353,267.9763,"Mar 19, 18",0.6461478565292177
2018-03-20,268.514,269.2375,267.7608,268.5239,59757271,59757271,0.455881,0.17,268.5191,"Mar 20, 18",0.6489468251234146
2018-03-21,268.4744,270.8232,267.7708,268.0086,78709578,78709578,-0.515344,-0.192,268.9814,"Mar 21, 18",0.6457824799795144
2018-03-22,265.5112,266.4626,261.0019,261.3091,148785916,148785916,-6.6995,-2.5,263.6122,"Mar 22, 18",0.6046423086394054
2018-03-23,261.8047,262.647,255.5214,255.7395,183534751,183534751,-5.5697,-2.131,258.9231,"Mar 23, 18",0.570440607274248
2018-03-26,259.7829,263.0534,257.0873,262.7362,141956102,141956102,6.9968,2.736,260.2892,"Mar 26, 18",0.6134058191281686
2018-03-27,263.7867,264.3814,256.5224,258.2666,129941445,129941445,-4.4696,-1.701,260.7434,"Mar 27, 18",0.5859589783457592
2018-03-28,258.4153,260.2884,256.2647,257.5035,146452306,146452306,-0.763106,-0.295,257.9689,"Mar 28, 18",0.5812729473360364
2018-03-29,258.782,262.8849,257.5123,260.7938,124244790,124244790,3.2903,1.278,260.5212,"Mar 29, 18",0.6014779634955052
2018-04-02,260.1992,260.774,252.3897,255.1646,186286343,186286343,-5.6291,-2.158,255.0978,"Apr 2, 18",0.56691027150241
2018-04-03,256.5521,258.9703,254.5403,258.4351,119956861,119956861,3.2705,1.282,256.7157,"Apr 3, 18",0.5869937001713892
2018-04-04,254.4511,261.988,254.3024,261.2001,123715339,123715339,2.765,1.07,258.3314,"Apr 4, 18",0.6039729633634786
2018-04-05,263.1723,264.2525,261.9533,263.2615,82652618,82652618,2.0614,0.789,263.1914,"Apr 5, 18",0.6166315720955483
2018-04-06,261.0614,262.7362,255.6899,257.3945,179521209,179521209,-5.867,-2.229,258.6497,"Apr 6, 18",0.5806036020601096
2018-04-09,259.0297,262.4687,257.6082,258.663,105442932,105442932,1.2685,0.493,260.0541,"Apr 9, 18",0.5883931844684878
2018-04-10,261.9038,263.6579,260.6253,262.7759,105573736,105573736,4.1128,1.59,262.281,"Apr 10, 18",0.6136496081873822
